cement,slag,flyash,water,superplasticizer,coarseaggregate,fineaggregate,age,csMPa,hdbscan,fcm,hdbI
540.0,0.0,0.0,162.0,2.5,1040.0,676.0,28,79.99,-1,6,0.43113696894230213
540.0,0.0,0.0,162.0,2.5,1055.0,676.0,28,61.89,0,6,0.43113696894230213
332.5,142.5,0.0,228.0,0.0,932.0,594.0,270,40.27,-1,8,0.43113696894230213
332.5,142.5,0.0,228.0,0.0,932.0,594.0,365,41.05,-1,8,0.43113696894230213
198.6,132.4,0.0,192.0,0.0,978.4,825.5,360,44.3,-1,3,0.43113696894230213
266.0,114.0,0.0,228.0,0.0,932.0,670.0,90,47.03,-1,9,0.43113696894230213
380.0,95.0,0.0,228.0,0.0,932.0,594.0,365,43.7,-1,6,0.43113696894230213
380.0,95.0,0.0,228.0,0.0,932.0,594.0,28,36.45,-1,6,0.43113696894230213
266.0,114.0,0.0,228.0,0.0,932.0,670.0,28,45.85,-1,9,0.43113696894230213
475.0,0.0,0.0,228.0,0.0,932.0,594.0,28,39.29,-1,6,0.43113696894230213
198.6,132.4,0.0,192.0,0.0,978.4,825.5,90,38.07,-1,3,0.43113696894230213
198.6,132.4,0.0,192.0,0.0,978.4,825.5,28,28.02,10,3,0.43113696894230213
427.5,47.5,0.0,228.0,0.0,932.0,594.0,270,43.01,-1,6,0.43113696894230213
190.0,190.0,0.0,228.0,0.0,932.0,670.0,90,42.33,-1,9,0.43113696894230213
304.0,76.0,0.0,228.0,0.0,932.0,670.0,28,47.81,-1,1,0.43113696894230213
380.0,0.0,0.0,228.0,0.0,932.0,670.0,90,52.91,-1,6,0.43113696894230213
139.6,209.4,0.0,192.0,0.0,1047.0,806.9,90,39.36,-1,3,0.43113696894230213
342.0,38.0,0.0,228.0,0.0,932.0,670.0,365,56.14,-1,7,0.43113696894230213
380.0,95.0,0.0,228.0,0.0,932.0,594.0,90,40.56,-1,6,0.43113696894230213
475.0,0.0,0.0,228.0,0.0,932.0,594.0,180,42.62,-1,6,0.43113696894230213
427.5,47.5,0.0,228.0,0.0,932.0,594.0,180,41.84,-1,6,0.43113696894230213
139.6,209.4,0.0,192.0,0.0,1047.0,806.9,28,28.24,-1,3,0.43113696894230213
139.6,209.4,0.0,192.0,0.0,1047.0,806.9,3,8.06,-1,3,0.43113696894230213
139.6,209.4,0.0,192.0,0.0,1047.0,806.9,180,44.21,-1,3,0.43113696894230213
380.0,0.0,0.0,228.0,0.0,932.0,670.0,365,52.52,-1,6,0.43113696894230213
380.0,0.0,0.0,228.0,0.0,932.0,670.0,270,53.3,-1,6,0.43113696894230213
380.0,95.0,0.0,228.0,0.0,932.0,594.0,270,41.15,-1,6,0.43113696894230213
342.0,38.0,0.0,228.0,0.0,932.0,670.0,180,52.12,-1,6,0.43113696894230213
427.5,47.5,0.0,228.0,0.0,932.0,594.0,28,37.43,-1,6,0.43113696894230213
475.0,0.0,0.0,228.0,0.0,932.0,594.0,7,38.6,-1,6,0.43113696894230213
304.0,76.0,0.0,228.0,0.0,932.0,670.0,365,55.26,-1,7,0.43113696894230213
266.0,114.0,0.0,228.0,0.0,932.0,670.0,365,52.91,-1,1,0.43113696894230213
198.6,132.4,0.0,192.0,0.0,978.4,825.5,180,41.72,-1,3,0.43113696894230213
475.0,0.0,0.0,228.0,0.0,932.0,594.0,270,42.13,-1,6,0.43113696894230213
190.0,190.0,0.0,228.0,0.0,932.0,670.0,365,53.69,-1,9,0.43113696894230213
237.5,237.5,0.0,228.0,0.0,932.0,594.0,270,38.41,-1,9,0.43113696894230213
237.5,237.5,0.0,228.0,0.0,932.0,594.0,28,30.08,-1,9,0.43113696894230213
332.5,142.5,0.0,228.0,0.0,932.0,594.0,90,37.72,-1,8,0.43113696894230213
475.0,0.0,0.0,228.0,0.0,932.0,594.0,90,42.23,-1,6,0.43113696894230213
237.5,237.5,0.0,228.0,0.0,932.0,594.0,180,36.25,-1,9,0.43113696894230213
342.0,38.0,0.0,228.0,0.0,932.0,670.0,90,50.46,-1,6,0.43113696894230213
427.5,47.5,0.0,228.0,0.0,932.0,594.0,365,43.7,-1,6,0.43113696894230213
237.5,237.5,0.0,228.0,0.0,932.0,594.0,365,39.0,-1,9,0.43113696894230213
380.0,0.0,0.0,228.0,0.0,932.0,670.0,180,53.1,-1,6,0.43113696894230213
427.5,47.5,0.0,228.0,0.0,932.0,594.0,90,41.54,-1,6,0.43113696894230213
427.5,47.5,0.0,228.0,0.0,932.0,594.0,7,35.08,-1,6,0.43113696894230213
349.0,0.0,0.0,192.0,0.0,1047.0,806.9,3,15.05,4,5,0.43113696894230213
380.0,95.0,0.0,228.0,0.0,932.0,594.0,180,40.76,-1,6,0.43113696894230213
237.5,237.5,0.0,228.0,0.0,932.0,594.0,7,26.26,-1,9,0.43113696894230213
380.0,95.0,0.0,228.0,0.0,932.0,594.0,7,32.82,-1,6,0.43113696894230213
332.5,142.5,0.0,228.0,0.0,932.0,594.0,180,39.78,-1,8,0.43113696894230213
190.0,190.0,0.0,228.0,0.0,932.0,670.0,180,46.93,-1,9,0.43113696894230213
